Student_ID,Name,Age,Gender,Netflix,Prime,YouTube,Device_Used,Hours_per_day,Favourite_Genre,Subscription_Type
1,Sahil Nair,24,Male,No,Yes,No,Mobile,4.5,Action,Free
2,Karan Patel,25,Female,No,Yes,Yes,Smart TV,4.8,Thriller,Free
3,Karan Joshi,22,Male,Yes,Yes,Yes,Tablet,0.7,Drama,Paid
4,Pooja Yadav,20,Female,No,Yes,No,Smart TV,5.8,Documentary,Paid
5,Pooja Bansal,25,Male,Yes,No,Yes,Mobile,4.3,Horror,Paid
6,Sneha Singh,22,Female,Yes,Yes,No,Smart TV,2.8,Documentary,Free
7,Tanya Reddy,19,Male,Yes,No,Yes,Mobile,4.1,Romance,Paid
8,Arjun Mehta,22,Female,No,No,No,Smart TV,5.5,Action,Free
9,Karan Yadav,21,Female,No,Yes,No,Laptop,1.0,Sci-Fi,Free
10,Pooja Kumar,21,Male,Yes,No,No,Laptop,5.2,Thriller,Free
11,Divya Mehta,19,Female,Yes,No,Yes,Smart TV,3.6,Horror,Paid
12,Priya Saxena,25,Female,Yes,Yes,No,Laptop,2.3,Horror,Paid
13,Arjun Nair,24,Female,No,Yes,No,Laptop,3.3,Comedy,Paid
14,Sneha Mehta,18,Female,Yes,Yes,Yes,Smart TV,4.6,Comedy,Free
15,Nikhil Rana,22,Female,No,No,Yes,Mobile,5.7,Sci-Fi,Free
16,Abhishek Verma,18,Female,Yes,Yes,Yes,Smart TV,4.1,Drama,Paid
17,Ravi Mehta,22,Female,No,No,Yes,Tablet,1.6,Thriller,Free
18,Ankit Yadav,23,Female,Yes,Yes,Yes,Laptop,1.2,Romance,Free
19,Arjun Sharma,18,Female,No,No,No,Mobile,1.8,Thriller,Free
20,Sneha Tiwari,25,Female,Yes,No,No,Tablet,2.0,Drama,Paid
21,Karan Verma,24,Female,Yes,Yes,No,Smart TV,4.8,Action,Paid
22,Megha Verma,19,Male,Yes,No,Yes,Tablet,5.2,Action,Paid
23,Pooja Pandey,20,Female,Yes,Yes,Yes,Laptop,2.9,Action,Free
24,Ravi Pandey,18,Female,No,Yes,No,Tablet,2.4,Comedy,Free
25,Isha Reddy,20,Female,Yes,Yes,Yes,Smart TV,0.5,Romance,Free
26,Arjun Saxena,23,Female,No,Yes,Yes,Laptop,0.5,Drama,Free
27,Karan Mehta,23,Male,Yes,No,Yes,Mobile,3.0,Comedy,Paid
